Title,Category,Price
It's Only the Himalayas,Travel,45.17
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94
Under the Tuscan Sun,Travel,37.33
A Summer In Europe,Travel,44.34
The Great Railway Bazaar,Travel,30.54
A Year in Provence (Provence #1),Travel,56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21
Neither Here nor There: Travels in Europe,Travel,38.95
"1,000 Places to See Before You Die",Travel,26.08
